fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220429 112615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0301080132533668	0.475514941547928	7764	960	0.0167895618489752	13474000	50
20220429 113228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	676	TRUE	0.0119424571934982	0.42516433044303	6025	831	0.0172269713517466	13643000	51
20220429 113723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	0.0128267673892124	0.517481069854157	4469	1021	0.0170800050674566	13499000	52
20220429 113940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0287652719955809	0.458839022745923	6218	812	0.016949285186116	13804000	53
20220429 114013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.209557285278468	0.959973313982635	4692	1024	0.0125024848380971	12305000	54
20220429 114233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0284745405653305	0.42817295644886	5054	812	0.0170556789645932	13671000	55
20220429 114346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.0332862235773182	0.703785918105505	946	17	0.0187262558342311	13478000	56
20220429 114723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	241	TRUE	0.0304651064366997	0.330022962468645	1835	207	0.0186237580209883	13218000	57
20220429 115014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	447	TRUE	0.0218580748394822	0.977951795624203	6876	17	0.0140781374478253	13020000	58
20220429 120238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.0319284719036885	0.898387517755103	8	997	0.0173200867380219	1257000	59
20220429 120325	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.283537437531662	0.713207799474844	1757	16	0.00863532808418421	10968000	60
20220429 120414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0931869192169848	0.206788481248565	551	16	0.0135275966034863	12594000	61
20220429 120940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	672	TRUE	0.0100830985396142	0.754784318013431	4694	41	0.0132206497289882	13103000	62
20220429 121635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	0.0103691880024653	0.210990993920457	6160	61	0.017360731633446	13496000	63
