fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220426 010438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.121422874	0.398526545	7137	16	0.019514417	13364000	110
20220425 234603	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.103605663	0.498203801	6246	1024	0.015729904	13363000	51
20220425 233952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.113377439	0.701096332	3547	662	0.014910847	13354000	42
20220426 001417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.125726997	0.6107509	7542	254	0.01521815	13343000	72
20220426 005235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.018936926	0.609449627	6685	353	0.015096135	13343000	102
20220426 004334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.102967656	0.509790009	5526	959	0.015446932	13326000	92
20220425 234043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.128793747	0.667149876	2567	16	0.015389963	13323000	44
20220426 010619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.128725285	0.216404583	6773	1024	0.015600238	13323000	113
20220426 002901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1485	TRUE	0.01129861	0.203321627	6875	200	0.015231559	13305000	83
20220426 004307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	669	TRUE	0.010641532	0.214007389	5125	1024	0.014877392	13298000	91
20220426 000636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.067446958	0.561520427	5090	1024	0.019845297	13296000	64
20220426 004741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	249	TRUE	0.033767905	0.532693583	2856	16	0.016674007	13291000	95
20220426 000834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.058194394	0.50631968	5780	16	0.0152151	13287000	68
20220426 003137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	643	TRUE	0.010036405	0.593465184	7999	240	0.017177033	13280000	84
20220425 233651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.119056884	0.600834822	5641	167	0.015359937	13259000	37
20220425 233155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.108345623	0.647406277	2417	739	0.015944333	13232000	30
20220425 233024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.124033743	0.675596329	2610	1023	0.014477509	13230000	26
20220425 234535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.091232282	0.509728515	7052	681	0.015575967	13228000	50
20220425 233129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.1913488	0.689682323	2863	694	0.015109097	13191000	29
20220425 232756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.061379736	0.538073461	3656	809	0.015335894	13168000	21
20220425 234110	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.081475862	0.203744371	7478	1024	0.014936647	13165000	45
20220426 010834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	436	TRUE	0.011126013	0.999904416	8000	708	0.014085424	13155000	116
20220425 234304	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.022233794	0.529978581	3089	1024	0.021989775	13149000	46
20220426 004409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.10195318	0.207331774	5641	682	0.014924969	13123000	93
20220425 233801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.117350358	0.629270944	7988	1024	0.015061352	13115000	40
20220425 235216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.04736501	0.56037983	5558	663	0.021651211	13111000	55
20220425 233222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.110614453	0.453205873	3130	532	0.014856984	13094000	31
20220426 001728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	391	TRUE	0.011155808	0.728682381	7998	16	0.014084285	13094000	75
20220426 000805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.087574874	0.998245284	3051	59	0.015917934	13052000	67
20220425 232910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.14771876	0.555946828	3776	650	0.017468833	13036000	24
20220426 010655	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.091729644	0.690760543	4511	17	0.021046169	13035000	115
20220426 005005	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.163342298	0.546712349	2451	682	0.012275303	13025000	98
20220426 004942	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.121162916	0.628954469	2914	232	0.015334355	13021000	97
20220425 234031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.059438199	0.536938543	2920	148	0.012368074	13014000	43
20220425 233002	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.044626621	0.981628955	2467	693	0.015264544	13008000	25
20220425 233721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.065053504	0.622525043	7995	16	0.021584917	13004000	38
20220425 232133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.139657361	0.525803516	3740	93	0.019403128	12993000	13
20220425 232247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.237362575	0.434901869	7120	962	0.01587568	12956000	16
20220425 232846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.117603389	0.740102866	2832	404	0.012609442	12943000	23
20220425 233528	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.094073847	0.908278718	6810	16	0.015511846	12897000	35
20220425 233111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.220567657	0.420970935	7996	18	0.015200306	12888000	28
20220425 234833	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	0.010055678	0.436999916	7713	1024	0.020052121	12855000	52
20220426 010500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.177354918	0.999999455	2655	647	0.019221475	12855000	111
20220426 003200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.152427449	0.950610301	4705	691	0.015083877	12853000	85
20220426 003434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	892	TRUE	0.010520255	0.214315915	4682	17	0.022389212	12823000	86
20220426 004025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	254	TRUE	0.029223822	0.299824636	7999	237	0.011889675	12817000	90
20220425 231617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.103146985	0.70521128	2918	315	0.023030123	12812000	2
20220426 003922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.060217254	0.200481891	5796	974	0.020794809	12795000	89
20220426 000738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.288772218	0.998464394	7995	674	0.015436712	12792000	66
20220426 010632	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.295889392	0.20075826	7992	714	0.014779884	12777000	114
20220426 002444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.187751874	0.200495472	8000	695	0.015272361	12769000	81
20220426 000017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.023729739	0.991961336	5075	1024	0.017444386	12686000	59
20220426 002023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.261527094	0.983248976	6792	1023	0.020702332	12582000	77
20220425 234849	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.28781577	0.529531257	7446	1024	0.023342879	12576000	53
20220425 231908	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	0.1220236	0.568085605	6532	540	0.011864838	12575000	8
20220426 005043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.187482365	0.695173637	6671	17	0.016442986	12572000	100
20220425 233239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.234397668	0.535370552	7998	387	0.022465677	12561000	32
20220426 002458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.299732801	0.620527274	6846	197	0.015121361	12555000	82
20220425 231653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.167160352	0.452297482	1353	748	0.012863152	12530000	3
20220426 000309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.144680017	0.223276878	1834	272	0.01501464	12489000	62
20220426 003840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	795	TRUE	0.010002449	0.913990813	4113	1024	0.02334379	12463000	88
20220425 231551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.225785823	0.909730362	4028	834	0.021112959	12338000	1
20220426 005800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299982893	0.998084569	1728	593	0.014831149	12330000	105
20220425 233741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.216560471	0.583436034	2796	847	0.014476921	12302000	39
20220426 010904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.284935557	0.200575662	7505	16	0.023515903	12281000	118
20220425 232715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.27955412	0.983969116	3580	406	0.018711633	12263000	20
20220426 001507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.122080199	0.252849269	1700	1024	0.008347784	12224000	73
20220425 231705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.175798342	0.814571428	5887	423	0.027065999	11582000	4
20220425 231929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.14723271	0.619087812	2749	811	0.029116971	11485000	9
20220426 010851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	0.288367056	0.600866956	1461	16	0.008387656	11282000	117
20220425 234504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.064561963	0.448075554	6133	1024	0.008336617	11213000	49
