fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 111808	-0.0214267376673491	3137	1568	3	5	8423000	101
20220408 111846	-0.278588936180045	3115	1076	8	5	9891000	102
20220408 111926	-0.57291815094849	7996	165	20	5	8764000	103
20220408 112016	-0.873598810619695	3205	1	14	5	10055000	104
20220408 112056	-0.84808817804712	2853	956	16	5	9893000	105
20220408 112128	-0.656388804357123	7978	1911	20	5	8855000	106
20220408 112205	-0.980328438391887	4336	642	20	5	10015000	107
20220408 112241	-0.22117658633913	3230	915	13	5	9902000	108
20220408 112319	-0.471821354514731	2161	1078	16	5	9958000	109
20220408 112338	-0.893137450262286	4021	2000	3	5	8423000	110
20220408 112359	-0.482825549972033	7999	1999	3	5	8423000	111
20220408 112439	-0.76375601855252	2622	1226	10	5	9860000	112
20220408 112459	-0.625279458357194	3765	1878	3	5	8423000	113
20220408 112527	-0.776785238083895	7997	2000	3	5	8423000	114
20220408 112635	-0.430285717159534	1154	577	12	5	9906000	115
20220408 112730	-0.127070429006722	2610	1298	20	5	9624000	116
