fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220426 164318	0	0	0	1	auto	depthwise	256	0	1	0.136148273059445	0.774697544849396	6	5	0.0154246575864343	64	13114000	41
20220426 170038	0	0	0	1	auto	depthwise	256	0	1	0.0100274330070989	0.445585726683983	10	5	0.0168482316687851	642	13602000	42
20220426 172308	0	0	0	1	auto	depthwise	256	0	1	0.0196057974055735	0.870150214431936	10	30	0.00836793221447577	48	11743000	43
20220426 174137	0	0	0	1	auto	depthwise	256	0	1	0.0101105682217607	0.35557072761444	10	7	0.0160875833081072	458	13803000	44
20220426 175524	0	0	0	1	auto	depthwise	256	0	1	0.0103307401469487	0.281493017172225	7	6	0.0156373935245008	443	13360000	45
20220426 180810	0	0	0	1	auto	depthwise	256	0	1	0.0103650993222176	0.387672082266427	8	2	0.0158600921569812	860	13283000	46
20220426 181220	0	0	0	1	auto	depthwise	256	0	1	0.299967164295109	0.669453315970985	10	30	0.00838544295770011	10	9785000	47
20220426 183913	0	0	0	1	auto	depthwise	256	0	1	0.0134800401094356	0.996489007673374	10	6	0.0150443670196228	335	13298000	48
20220426 184332	0	0	0	1	auto	depthwise	256	0	1	0.0374235132854127	0.386126183356668	10	6	0.0161740092311171	91	13213000	49
20220426 190318	0	0	0	1	auto	depthwise	256	0	1	0.0101910167181976	0.440190268784776	10	17	0.00834037365734452	53	12486000	50
20220426 192112	0	0	0	1	auto	depthwise	256	0	1	0.0102317351602643	0.767184312921964	7	6	0.0142275146466144	117	13139000	51
20220426 192325	0	0	0	1	auto	depthwise	256	0	1	0.122995636516306	0.556739949271792	7	2	0.0134399015500875	151	13351000	52
20220426 192603	0	0	0	1	auto	depthwise	256	0	1	0.11860363281767	0.999917128298152	10	2	0.0135261650467535	110	13217000	53
20220426 192710	0	0	0	1	auto	depthwise	256	0	1	0.299801462934843	0.539980955462449	10	2	0.00835019910717772	56	11302000	54
20220426 193304	0	0	0	1	auto	depthwise	256	0	1	0.0977493312633646	0.922712122146602	6	2	0.0172119648859023	389	12739000	55
20220426 193434	0	0	0	1	auto	depthwise	256	0	1	0.235280394769804	0.997837435238777	6	2	0.00837804006141597	45	11485000	56
20220426 194304	0	0	0	1	auto	depthwise	256	0	1	0.0100873078110816	0.257576412709269	10	6	0.0131314192941784	171	13072000	57
20220426 203702	0	0	0	1	auto	depthwise	256	0	1	0.0104564042603615	0.999959787379069	9	19	0.0137825753906688	281	12878000	58
20220426 205639	0	0	0	1	auto	depthwise	256	0	1	0.01001731190393	0.401493014294482	10	7	0.0179394846239375	576	13320000	59
20220426 213311	0	0	0	1	auto	depthwise	256	0	1	0.0100127150644317	0.965683981006355	10	2	0.0224566820329843	2380	12694000	60
20220426 213415	0	0	0	1	auto	depthwise	256	0	1	0.299262705439026	0.537513763038663	6	2	0.016435442201582	45	12955000	61
20220426 213952	0	0	0	1	auto	depthwise	256	0	1	0.0301197774093404	0.225208452623815	10	19	0.0139711219105169	67	12694000	62
20220426 214107	0	0	0	1	auto	depthwise	256	0	1	0.218006078558988	0.575869231568091	5	2	0.0141334787892325	60	13063000	63
20220426 214229	0	0	0	1	auto	depthwise	256	0	1	0.238720781236067	0.464518475268157	10	2	0.0142921362993486	93	13045000	64
20220426 215815	0	0	0	1	auto	depthwise	256	0	1	0.0102195339339222	0.202068322120782	10	6	0.0201332442833348	980	13005000	65
20220426 221045	0	0	0	1	auto	depthwise	256	0	1	0.010073419287183	0.779748152676782	10	2	0.0337842244697161	608	10749000	66
20220426 221217	0	0	0	1	auto	depthwise	256	0	1	0.153065895100336	0.694644000925886	10	2	0.0164137845899107	66	13099000	67
20220426 221353	0	0	0	1	auto	depthwise	256	0	1	0.299705629016929	0.225058449480057	10	18	0.0164983909453037	13	11668000	68
20220426 221537	0	0	0	1	auto	depthwise	256	0	1	0.298431786277104	0.94658971156025	10	2	0.0198266022121819	72	11882000	69
20220426 222548	0	0	0	1	auto	depthwise	256	0	1	0.0632794030250851	0.922118000500553	10	20	0.0099904313173335	34	12697000	70
20220426 223053	0	0	0	1	auto	depthwise	256	0	1	0.11165549339288	0.999122735181804	10	2	0.0268241434422065	308	11942000	71
20220426 224459	0	0	0	1	auto	depthwise	256	0	1	0.0101550307706317	0.522760959556377	6	4	0.0144414476523397	477	13682000	72
20220426 230147	0	0	0	1	auto	depthwise	256	0	1	0.010286466311358	0.821563596366464	7	2	0.0269030242790965	972	11838000	73
20220426 230232	0	0	0	1	auto	depthwise	256	0	1	0.252154260491896	0.200203764201356	6	2	0.0152092723367573	57	13024000	74
20220426 234359	0	0	0	1	auto	depthwise	256	0	1	0.0100811532995967	0.818102952334894	10	16	0.014395224467395	273	13469000	75
20220427 001606	0	0	0	1	auto	depthwise	256	0	1	0.0173167137574042	0.996966771395914	10	16	0.0268152511220069	214	11483000	76
20220427 004152	0	0	0	1	auto	depthwise	256	0	1	0.0101634833493845	0.498500957138637	10	17	0.0141558312417731	213	13719000	77
20220427 011019	0	0	0	1	auto	depthwise	256	0	1	0.0100839776921922	0.510204361679729	10	22	0.0139994524311432	206	13530000	78
20220427 013625	0	0	0	1	auto	depthwise	256	0	1	0.0100137527582295	0.525350181979453	6	17	0.0123896708175217	110	13440000	79
20220427 013903	0	0	0	1	auto	depthwise	256	0	1	0.0869088668113862	0.853372561822484	10	2	0.0146142438840494	121	13068000	80
20220427 014118	0	0	0	1	auto	depthwise	256	0	1	0.149062643874911	0.512599687883444	6	7	0.0139380124772907	20	12108000	81
20220427 014408	0	0	0	1	auto	depthwise	256	0	1	0.104403785978734	0.680085455788602	5	2	0.0149725822579705	156	13123000	82
20220427 014549	0	0	0	1	auto	depthwise	256	0	1	0.239206338470885	0.884590807780286	5	2	0.0165007636627297	65	12706000	83
20220427 022025	0	0	0	1	auto	depthwise	256	0	1	0.0101400218280823	0.652255302891448	10	21	0.0120447044107261	205	13487000	84
20220427 022208	0	0	0	1	auto	depthwise	256	0	1	0.117169799520865	0.407603633851493	10	2	0.0150187477095083	128	13160000	85
20220427 022352	0	0	0	1	auto	depthwise	256	0	1	0.231488581331422	0.672014395177699	7	2	0.0161608264947245	100	12830000	86
20220427 024010	0	0	0	1	auto	depthwise	256	0	1	0.0100527363407894	0.564737264656088	8	4	0.0163233954688378	579	13660000	87
20220427 032339	0	0	0	1	auto	depthwise	256	0	1	0.0100763055863456	0.802673767702885	6	19	0.0106832419727664	180	12939000	88
