fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 141812	-0.131870552301561	4389	690	7	5	9881000	102
20220408 141918	-0.675603103991644	4023	2000	9	5	9178000	103
20220408 142013	-0.487140845216074	7989	704	6	5	8855000	104
20220408 142048	-0.0821406147188644	2586	793	3	5	8881000	105
20220408 142152	-0.493114330974554	2066	949	14	5	10026000	106
20220408 142255	-0.344080667328293	3595	728	20	5	9801000	107
20220408 142358	-0.26894177262862	3555	931	20	5	9764000	108
20220408 142458	-0.399913100948289	2049	847	9	5	9818000	109
20220408 142545	-0.733629782306583	5883	1189	8	5	9469000	110
20220408 142650	-0.488375942021758	2359	668	10	5	10102000	111
20220408 142737	-0.629966170999166	2205	301	6	5	9765000	112
20220408 142810	-0.255422340595623	4430	1	5	5	8710000	113
20220408 142835	-0.595911453452808	220	110	3	5	8767000	114
20220408 142914	-0.779149281973718	1312	648	6	5	10071000	115
20220408 142959	-0.61262104838089	1111	551	9	5	9513000	116
