fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220430 040614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1203	TRUE	0.0120387434742405	0.429319534980617	7970	876	0.0128146188955383	7.28596084668407	37.6559372333516	37113000	44
20220430 040641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	101	TRUE	0.199943428837782	0.417121733078932	7619	871	0.0122287939658601	0.10678697488301	28.9095451052535	36521000	45
20220430 041042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1266	TRUE	0.0109238171172881	0.451090914897399	7987	89	0.0127241761036554	5.30183054460445	58.8880571209643	37135000	46
20220430 041517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1824	TRUE	0.00989860402368094	0.286654812899689	8000	182	0.0141812908706376	15.7721548343592	37.6615235688572	37042000	47
20220430 041843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1037	TRUE	0.0238129081242506	0.296939003781342	1944	896	0.0123485049465641	5.92865254650914	47.3896103445398	37040000	48
20220430 042001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	257	TRUE	0.0282301693641243	0.413018719926739	2528	895	0.0125940150859315	6.1897676273218	44.8673017554713	36678000	49
20220430 044219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2139	TRUE	0.00525260369958355	0.232204607352202	92	930	0.0119154568626726	0.019497616328307	46.8038643864313	36928000	50
20220430 044904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1472	TRUE	0.00518985283600572	0.304177958872444	1069	871	0.0143623869160135	7.42133792621366	51.7553285373985	37205000	51
20220430 045557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2115	TRUE	0.0054726335104849	0.433372265607596	7970	207	0.0157408310080391	0.715046038902403	89.6842487565679	37151000	52
20220430 051217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	4503	TRUE	0.00522676269580318	0.314600180604586	1355	1017	0.011569466557482	5.24344719864895	40.3196460175591	37022000	53
20220430 052914	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	7728	TRUE	0.0050258434854342	0.220045155941581	7330	856	0.0112465618954306	8.31764246293516	39.0722196587894	36629000	54
